msoa11cd,ASScore,BHSScore,CriScore,CYPScore,DepChi,EduScore,EmpScore,EnvScore,GBScore,HDDScore,IDCScore,IDOScore,IMDScore,IncScore,IndScore,OutScore,Pop16_59,Pop60_,TotPop,WBScore,WorkPop
E02002233,0.575,18.073,0.938,0.955,712,65.123,0.194,50.499,-0.813,1.065,0.335,0.475,54.662,0.335,1.168,0.887,1030,190,1876,1.85,995.75
E02002234,0.617,22.649,2.086,2.095,467,89.136,0.3,15.249,-0.159,1.7,0.364,0.459,72.553,0.385,-0.72,0.44,815,278,1516,1.365,801
E02002235,0.525,16.969,1.281,1.147,541,60.994,0.189,43.948,-0.176,0.894,0.261,0.424,46.584,0.313,0.808,0.796,993,244,1822,1.189,971.25
E02002236,0.371,6.903,1.366,0.336,376,23.407,0.112,49.169,-0.898,0.35,0.169,0.193,28.757,0.14,1.172,0.84,863,338,1588,-0.921,869.5
E02002237,0.413,13.571,1.151,0.679,374,35.158,0.116,29.186,-0.293,0.555,0.223,0.158,30.596,0.169,0.636,0.142,902,319,1539,-0.501,867.75
E02002238,0.435,14.497,1.725,0.919,338,46.825,0.149,33.831,-0.675,0.989,0.385,0.288,41.74,0.227,0.422,0.848,825,326,1492,0.128,820.75
E02002239,0.437,14.271,1.267,0.528,508,38.435,0.129,27.687,-0.295,0.812,0.201,0.253,37.327,0.192,0.477,0.473,1250,372,2118,-0.025,1255
E02002240,0.322,15.258,0.977,0.034,303,18.894,0.087,36.483,0.149,0.427,0.157,0.169,23.666,0.123,1.032,-0.105,1006,307,1563,-0.965,994.5
E02002241,0.454,14.447,1.329,1.062,365,52.713,0.161,20.684,-0.446,0.638,0.301,0.261,38.428,0.236,0.185,0.342,890,330,1514,-0.259,908.25
E02002242,0.375,20.989,0.983,0.25,255,26.616,0.09,36.237,0.392,0.304,0.114,0.115,23.738,0.114,0.74,0.58,864,385,1527,-0.913,880.75
E02002243,0.451,12.716,1.668,0.782,317,40.312,0.144,25.528,-0.555,0.925,0.256,0.19,36.552,0.179,0.401,0.459,918,333,1638,-0.38,928
