pcds,ASScore,BHSScore,CriScore,CYPScore,DepChi,EduScore,EmpScore,EnvScore,GBScore,HDDScore,IDCScore,IDOScore,IMDScore,IncScore,IndScore,OutScore,Pop16_59,Pop60_,TotPop,WBScore,WorkPop
BD1 1AA,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1AE,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1AF,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1AG,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1AH,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1AJ,0.578,25.016,1.957,0.493,764,57.398,0.252,63.564,-0.453,1.556,0.284,0.616,67.256,0.346,1.445,1.249,1522,178,2464,2.789,1494.5
BD1 1AN,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1AW,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1BA,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1BG,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1BL,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1BX,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1BZ,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1DA,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1DB,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1DD,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1DE,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1DF,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1DG,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1DH,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1DJ,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1DL,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1DN,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1DP,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1DQ,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1DR,0.578,25.016,1.957,0.493,764,57.398,0.252,63.564,-0.453,1.556,0.284,0.616,67.256,0.346,1.445,1.249,1522,178,2464,2.789,1494.5
BD1 1DT,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1DU,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1DW,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1DX,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1DY,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1DZ,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1EA,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1EB,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1ED,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1EE,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1EF,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1EG,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1EH,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1EJ,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1EL,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1EP,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1EQ,0.578,25.016,1.957,0.493,764,57.398,0.252,63.564,-0.453,1.556,0.284,0.616,67.256,0.346,1.445,1.249,1522,178,2464,2.789,1494.5
BD1 1ER,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1ES,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1ET,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1EU,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1EW,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1EX,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1EY,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1EZ,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1FB,0.578,25.016,1.957,0.493,764,57.398,0.252,63.564,-0.453,1.556,0.284,0.616,67.256,0.346,1.445,1.249,1522,178,2464,2.789,1494.5
BD1 1FD,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1FF,0.578,25.016,1.957,0.493,764,57.398,0.252,63.564,-0.453,1.556,0.284,0.616,67.256,0.346,1.445,1.249,1522,178,2464,2.789,1494.5
BD1 1FG,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1FH,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1FN,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1FW,0.578,25.016,1.957,0.493,764,57.398,0.252,63.564,-0.453,1.556,0.284,0.616,67.256,0.346,1.445,1.249,1522,178,2464,2.789,1494.5
BD1 1HA,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1HB,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1HD,0.314,21.92,1.6,0.152,236,19.168,0.068,58.645,-0.606,1.254,0.168,0.573,31.905,0.095,1.343,1.102,3455,113,3804,2.366,3436.75
BD1 1HE,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1HH,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1HJ,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1HL,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1HN,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1HP,0.522,27.066,2.219,0.733,407,51.895,0.219,59.609,-0.586,1.564,0.278,0.659,61.466,0.304,1.208,1.532,1228,169,1804,3.354,1217
BD1 1HQ,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1HR,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1HS,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1HT,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1HU,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1HW,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1HX,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1HY,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1HZ,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1JA,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1JB,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1JD,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1JE,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1JF,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1JG,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1JJ,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1JL,0.578,25.016,1.957,0.493,764,57.398,0.252,63.564,-0.453,1.556,0.284,0.616,67.256,0.346,1.445,1.249,1522,178,2464,2.789,1494.5
BD1 1JN,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1JP,0.578,25.016,1.957,0.493,764,57.398,0.252,63.564,-0.453,1.556,0.284,0.616,67.256,0.346,1.445,1.249,1522,178,2464,2.789,1494.5
BD1 1JQ,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1JR,0.578,25.016,1.957,0.493,764,57.398,0.252,63.564,-0.453,1.556,0.284,0.616,67.256,0.346,1.445,1.249,1522,178,2464,2.789,1494.5
BD1 1JT,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1JU,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1JW,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1JX,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1JY,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1JZ,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1LA,0.314,21.92,1.6,0.152,236,19.168,0.068,58.645,-0.606,1.254,0.168,0.573,31.905,0.095,1.343,1.102,3455,113,3804,2.366,3436.75
BD1 1LB,0.314,21.92,1.6,0.152,236,19.168,0.068,58.645,-0.606,1.254,0.168,0.573,31.905,0.095,1.343,1.102,3455,113,3804,2.366,3436.75
BD1 1LD,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1LE,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1LF,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1LH,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1LJ,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1LL,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1LN,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1LP,0.522,27.066,2.219,0.733,407,51.895,0.219,59.609,-0.586,1.564,0.278,0.659,61.466,0.304,1.208,1.532,1228,169,1804,3.354,1217
BD1 1LQ,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1LS,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1LT,0.522,27.066,2.219,0.733,407,51.895,0.219,59.609,-0.586,1.564,0.278,0.659,61.466,0.304,1.208,1.532,1228,169,1804,3.354,1217
BD1 1LU,0.522,27.066,2.219,0.733,407,51.895,0.219,59.609,-0.586,1.564,0.278,0.659,61.466,0.304,1.208,1.532,1228,169,1804,3.354,1217
BD1 1LW,0.578,25.016,1.957,0.493,764,57.398,0.252,63.564,-0.453,1.556,0.284,0.616,67.256,0.346,1.445,1.249,1522,178,2464,2.789,1494.5
BD1 1LX,0.578,25.016,1.957,0.493,764,57.398,0.252,63.564,-0.453,1.556,0.284,0.616,67.256,0.346,1.445,1.249,1522,178,2464,2.789,1494.5
BD1 1LZ,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1NA,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1ND,0.522,27.066,2.219,0.733,407,51.895,0.219,59.609,-0.586,1.564,0.278,0.659,61.466,0.304,1.208,1.532,1228,169,1804,3.354,1217
BD1 1NE,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1NF,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1NG,0.522,27.066,2.219,0.733,407,51.895,0.219,59.609,-0.586,1.564,0.278,0.659,61.466,0.304,1.208,1.532,1228,169,1804,3.354,1217
BD1 1NH,0.522,27.066,2.219,0.733,407,51.895,0.219,59.609,-0.586,1.564,0.278,0.659,61.466,0.304,1.208,1.532,1228,169,1804,3.354,1217
BD1 1NJ,0.314,21.92,1.6,0.152,236,19.168,0.068,58.645,-0.606,1.254,0.168,0.573,31.905,0.095,1.343,1.102,3455,113,3804,2.366,3436.75
BD1 1NL,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1NN,0.314,21.92,1.6,0.152,236,19.168,0.068,58.645,-0.606,1.254,0.168,0.573,31.905,0.095,1.343,1.102,3455,113,3804,2.366,3436.75
BD1 1NP,0.314,21.92,1.6,0.152,236,19.168,0.068,58.645,-0.606,1.254,0.168,0.573,31.905,0.095,1.343,1.102,3455,113,3804,2.366,3436.75
BD1 1NQ,0.314,21.92,1.6,0.152,236,19.168,0.068,58.645,-0.606,1.254,0.168,0.573,31.905,0.095,1.343,1.102,3455,113,3804,2.366,3436.75
BD1 1NR,0.578,25.016,1.957,0.493,764,57.398,0.252,63.564,-0.453,1.556,0.284,0.616,67.256,0.346,1.445,1.249,1522,178,2464,2.789,1494.5
BD1 1NS,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1NT,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1NU,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1NW,0.314,21.92,1.6,0.152,236,19.168,0.068,58.645,-0.606,1.254,0.168,0.573,31.905,0.095,1.343,1.102,3455,113,3804,2.366,3436.75
BD1 1NX,0.314,21.92,1.6,0.152,236,19.168,0.068,58.645,-0.606,1.254,0.168,0.573,31.905,0.095,1.343,1.102,3455,113,3804,2.366,3436.75
BD1 1PA,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1PB,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1PE,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1PG,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1PH,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1PJ,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1PL,0.578,25.016,1.957,0.493,764,57.398,0.252,63.564,-0.453,1.556,0.284,0.616,67.256,0.346,1.445,1.249,1522,178,2464,2.789,1494.5
BD1 1PN,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1PP,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1PR,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1PS,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1PT,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1PU,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1PX,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1PZ,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1QA,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1QB,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1QD,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1QE,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1QF,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1QH,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1QJ,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1QL,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1QN,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1QP,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1QQ,0.578,25.016,1.957,0.493,764,57.398,0.252,63.564,-0.453,1.556,0.284,0.616,67.256,0.346,1.445,1.249,1522,178,2464,2.789,1494.5
BD1 1QR,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1QS,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
BD1 1QT,0.243,28.694,1.517,1.25,178,33.92,0.074,69.159,-0.78,0.475,0.134,0.272,33.188,0.093,1.601,1.299,1152,33,1363,3.821,1181.75
