pcds,ASScore,BHSScore,CriScore,CYPScore,DepChi,EduScore,EmpScore,EnvScore,GBScore,HDDScore,IDCScore,IDOScore,IMDScore,IncScore,IndScore,OutScore,Pop16_59,Pop60_,TotPop,WBScore,WorkPop
BD4 0PE,0.503,24.275,1.772,2.164,783,78.673,0.214,11.029,0.198,1.148,0.364,0.372,56.12,0.32,-0.98,0.382,1314,179,2276,1.096,1296.75
BD4 0PF,0.503,24.275,1.772,2.164,783,78.673,0.214,11.029,0.198,1.148,0.364,0.372,56.12,0.32,-0.98,0.382,1314,179,2276,1.096,1296.75
BD4 0PG,0.617,22.649,2.294,2.095,448,95.198,0.3,15.525,-0.159,1.7,0.339,0.459,72.553,0.385,-0.72,0.725,784,284,1516,1.75,789
BD4 0PH,0.617,22.649,2.294,2.095,448,95.198,0.3,15.525,-0.159,1.7,0.339,0.459,72.553,0.385,-0.72,0.725,784,284,1516,1.75,789
BD4 0PJ,0.617,22.649,2.294,2.095,448,95.198,0.3,15.525,-0.159,1.7,0.339,0.459,72.553,0.385,-0.72,0.725,784,284,1516,1.75,789
BD4 0PL,0.503,24.275,1.772,2.164,783,78.673,0.214,11.029,0.198,1.148,0.364,0.372,56.12,0.32,-0.98,0.382,1314,179,2276,1.096,1296.75
BD4 0PN,0.503,24.275,1.772,2.164,783,78.673,0.214,11.029,0.198,1.148,0.364,0.372,56.12,0.32,-0.98,0.382,1314,179,2276,1.096,1296.75
BD4 0PP,0.462,12.332,1.926,0.528,292,39.784,0.18,57.279,-0.939,0.812,0.298,0.253,45.537,0.227,1.427,0.744,987,372,1651,0.603,1007.25
BD4 0PQ,0.617,22.649,2.294,2.095,448,95.198,0.3,15.525,-0.159,1.7,0.339,0.459,72.553,0.385,-0.72,0.725,784,284,1516,1.75,789
BD4 0PR,0.462,12.332,1.926,0.528,292,39.784,0.18,57.279,-0.939,0.812,0.298,0.253,45.537,0.227,1.427,0.744,987,372,1651,0.603,1007.25
BD4 0PS,0.462,12.332,1.926,0.528,292,39.784,0.18,57.279,-0.939,0.812,0.298,0.253,45.537,0.227,1.427,0.744,987,372,1651,0.603,1007.25
BD4 0PT,0.462,12.332,1.926,0.528,292,39.784,0.18,57.279,-0.939,0.812,0.298,0.253,45.537,0.227,1.427,0.744,987,372,1651,0.603,1007.25
BD4 0PU,0.462,12.332,1.926,0.528,292,39.784,0.18,57.279,-0.939,0.812,0.298,0.253,45.537,0.227,1.427,0.744,987,372,1651,0.603,1007.25
