Postcode,Description,Grid Reference,X (easting),Y (northing),Latitude,Longitude
BD1 1NL,postcode not found,,,,,
BD1 1NN,BD1 1NN,SE 16233 32720,416233,432720,53.790546,-1.7550785
BD1 1NP,postcode not found,,,,,
BD1 1NQ,BD1 1NQ,SE 16142 32721,416142,432721,53.790557,-1.7564598
BD1 1NR,BD1 1NR,SE 16177 34017,416177,434017,53.802205,-1.7558609
BD1 1NS,BD1 1NS,SE 16402 33160,416402,433160,53.794495,-1.75249
BD1 1NT,BD1 1NT,SE 16406 33168,416406,433168,53.794567,-1.7524289
BD1 1NU,postcode not found,,,,,
BD1 1NW,postcode not found,,,,,
BD1 1NX,postcode not found,,,,,
BD1 1PA,postcode not found,,,,,
BD1 1PB,postcode not found,,,,,
BD1 1PE,postcode not found,,,,,
BD1 1PG,postcode not found,,,,,
BD1 1PH,BD1 1PH,SE 16437 33175,416437,433175,53.794629,-1.7519579
BD1 1PJ,BD1 1PJ,SE 16395 33176,416395,433176,53.794639,-1.7525954
BD1 1PL,BD1 1PL,SE 16177 34017,416177,434017,53.802205,-1.7558609
BD1 1PN,postcode not found,,,,,
BD1 1PP,BD1 1PP,SE 16377 33158,416377,433158,53.794478,-1.7528696
BD1 1PR,BD1 1PR,SE 16394 33121,416394,433121,53.794145,-1.7526135
BD1 1PS,postcode not found,,,,,
BD1 1PT,BD1 1PT,SE 16374 33169,416374,433169,53.794577,-1.7529146
BD1 1PU,BD1 1PU,SE 16366 33076,416366,433076,53.793741,-1.753041
BD1 1PX,postcode not found,,,,,
BD1 1PZ,BD1 1PZ,SE 16268 33145,416268,433145,53.794364,-1.754525
BD1 1QA,BD1 1QA,SE 16355 33186,416355,433186,53.79473,-1.7532021
BD1 1QB,BD1 1QB,SE 16405 33203,416405,433203,53.794881,-1.7524422
BD1 1QD,BD1 1QD,SE 16396 33201,416396,433201,53.794864,-1.7525789
BD1 1QE,postcode not found,,,,,
BD1 1QF,postcode not found,,,,,
BD1 1QH,postcode not found,,,,,
BD1 1QJ,postcode not found,,,,,
BD1 1QL,BD1 1QL,SE 16406 33230,416406,433230,53.795124,-1.7524256
BD1 1QN,BD1 1QN,SE 16352 33219,416352,433219,53.795027,-1.7532459
BD1 1QP,BD1 1QP,SE 16196 33184,416196,433184,53.794717,-1.7556159
BD1 1QQ,BD1 1QQ,SE 16177 34017,416177,434017,53.802205,-1.7558609
BD1 1QR,BD1 1QR,SE 16196 33184,416196,433184,53.794717,-1.7556159
BD1 1QS,BD1 1QS,SE 16296 33133,416296,433133,53.794256,-1.7541006
BD1 1QT,BD1 1QT,SE 16196 33184,416196,433184,53.794717,-1.7556159
BD1 1QU,BD1 1QU,SE 16196 33184,416196,433184,53.794717,-1.7556159
BD1 1QX,BD1 1QX,SE 16196 33184,416196,433184,53.794717,-1.7556159
BD1 1QY,BD1 1QY,SE 16196 33184,416196,433184,53.794717,-1.7556159
BD1 1QZ,postcode not found,,,,,
BD1 1RA,BD1 1RA,SE 16196 33184,416196,433184,53.794717,-1.7556159
BD1 1RB,BD1 1RB,SE 16310 33168,416310,433168,53.79457,-1.7538862
BD1 1RD,BD1 1RD,SE 16342 33143,416342,433143,53.794344,-1.7534017
BD1 1RE,BD1 1RE,SE 16394 33121,416394,433121,53.794145,-1.7526135
BD1 1RF,postcode not found,,,,,
BD1 1RH,postcode not found,,,,,
BD1 1RJ,BD1 1RJ,SE 16326 33089,416326,433089,53.793859,-1.7536475
BD1 1RL,postcode not found,,,,,
BD1 1RN,postcode not found,,,,,
BD1 1RP,postcode not found,,,,,
BD1 1RQ,postcode not found,,,,,
BD1 1RR,postcode not found,,,,,
BD1 1RS,postcode not found,,,,,
BD1 1RU,BD1 1RU,SE 16342 33052,416342,433052,53.793526,-1.7534065
BD1 1RX,BD1 1RX,SE 16346 33038,416346,433038,53.7934,-1.7533466
BD1 1RY,postcode not found,,,,,
BD1 1RZ,postcode not found,,,,,
BD1 1SB,postcode not found,,,,,
BD1 1SD,BD1 1SD,SE 16273 32997,416273,432997,53.793034,-1.7544568
BD1 1SH,postcode not found,,,,,
BD1 1SJ,postcode not found,,,,,
BD1 1SL,postcode not found,,,,,
BD1 1SN,postcode not found,,,,,
BD1 1SP,postcode not found,,,,,
BD1 1SQ,BD1 1SQ,SE 16272 33086,416272,433086,53.793834,-1.7544674
BD1 1SR,BD1 1SR,SE 16311 33066,416311,433066,53.793653,-1.7538764
BD1 1SS,postcode not found,,,,,
BD1 1ST,BD1 1ST,SE 16286 33105,416286,433105,53.794004,-1.7542538
BD1 1SU,postcode not found,,,,,
BD1 1SW,BD1 1SW,SE 16293 33104,416293,433104,53.793995,-1.7541476
BD1 1SX,BD1 1SX,SE 16230 33111,416230,433111,53.79406,-1.7551036
BD1 1SY,BD1 1SY,SE 16220 33080,416220,433080,53.793782,-1.755257
BD1 1SZ,BD1 1SZ,SE 16204 33105,416204,433105,53.794007,-1.7554986
BD1 1TA,postcode not found,,,,,
BD1 1TB,postcode not found,,,,,
BD1 1TE,BD1 1TE,SE 16196 33184,416196,433184,53.794717,-1.7556159
BD1 1TF,BD1 1TF,SE 16196 33184,416196,433184,53.794717,-1.7556159
