Postcode,Description,Grid Reference,X (easting),Y (northing),Latitude,Longitude
BD16 1DN,postcode not found,,,,,
BD16 1DP,BD16 1DP,SE 11015 38715,411015,438715,53.844564,-1.8340703
BD16 1DQ,BD16 1DQ,SE 07772 38031,407772,438031,53.838474,-1.8833763
BD16 1DR,BD16 1DR,SE 11010 38666,411010,438666,53.844123,-1.834148
BD16 1DS,BD16 1DS,SE 11072 38653,411072,438653,53.844005,-1.8332062
BD16 1DT,BD16 1DT,SE 11127 38526,411127,438526,53.842862,-1.8323748
BD16 1DU,BD16 1DU,SE 11160 38530,411160,438530,53.842898,-1.8318731
BD16 1DW,postcode not found,,,,,
BD16 1DX,BD16 1DX,SE 11161 38634,411161,438634,53.843832,-1.8318542
BD16 1DY,BD16 1DY,SE 11114 38626,411114,438626,53.843762,-1.8325688
BD16 1DZ,BD16 1DZ,SE 11194 38578,411194,438578,53.843328,-1.8313547
BD16 1EA,BD16 1EA,SE 11241 38480,411241,438480,53.842447,-1.8306439
BD16 1EB,BD16 1EB,SE 11260 38412,411260,438412,53.841835,-1.8303576
BD16 1ED,postcode not found,,,,,
BD16 1EE,BD16 1EE,SE 11343 38346,411343,438346,53.84124,-1.8290986
BD16 1EF,BD16 1EF,SE 11005 38403,411005,438403,53.84176,-1.8342333
BD16 1EG,BD16 1EG,SE 11096 38486,411096,438486,53.842504,-1.8328474
BD16 1EH,BD16 1EH,SE 10961 38683,410961,438683,53.844277,-1.8348921
BD16 1EJ,BD16 1EJ,SE 10945 38706,410945,438706,53.844484,-1.8351345
BD16 1EL,BD16 1EL,SE 10912 38730,410912,438730,53.8447,-1.8356352
BD16 1EN,BD16 1EN,SE 10933 38688,410933,438688,53.844323,-1.8353175
BD16 1EP,BD16 1EP,SE 10988 38606,410988,438606,53.843584,-1.8344845
BD16 1EQ,BD16 1EQ,SE 11006 38616,411006,438616,53.843674,-1.8342106
BD16 1ER,BD16 1ER,SE 10914 38576,410914,438576,53.843316,-1.8356102
BD16 1ES,BD16 1ES,SE 10952 38536,410952,438536,53.842956,-1.8350341
BD16 1ET,BD16 1ET,SE 11004 38494,411004,438494,53.842577,-1.8342453
BD16 1EU,BD16 1EU,SE 10968 38479,410968,438479,53.842443,-1.8347929
BD16 1EW,BD16 1EW,SE 10909 38596,410909,438596,53.843496,-1.8356855
BD16 1EX,BD16 1EX,SE 10845 38532,410845,438532,53.842922,-1.8366604
BD16 1EY,BD16 1EY,SE 10826 38620,410826,438620,53.843714,-1.8369461
BD16 1EZ,BD16 1EZ,SE 10895 38667,410895,438667,53.844135,-1.8358958
BD16 1FA,BD16 1FA,SE 09045 38709,409045,438709,53.844547,-1.8640116
BD16 1FE,BD16 1FE,SE 11119 37246,411119,437246,53.831358,-1.8325422
BD16 1FF,BD16 1FF,SE 08001 37307,408001,437307,53.831963,-1.8799149
BD16 1FG,BD16 1FG,SE 11320 37332,411320,437332,53.832127,-1.8294851
BD16 1FH,BD16 1FH,SE 08965 37486,408965,437486,53.833556,-1.8652627
BD16 1GH,BD16 1GH,SE 10834 39046,410834,439046,53.847542,-1.8368097
BD16 1GL,BD16 1GL,SE 10851 38997,410851,438997,53.847102,-1.836553
BD16 1HA,BD16 1HA,SE 10859 38647,410859,438647,53.843956,-1.8364436
BD16 1HB,BD16 1HB,SE 10852 38688,410852,438688,53.844324,-1.8365486
BD16 1HD,BD16 1HD,SE 10807 38766,410807,438766,53.845026,-1.8372298
BD16 1HE,postcode not found,,,,,
BD16 1HF,BD16 1HF,SE 10708 38690,410708,438690,53.844345,-1.8387371
BD16 1HG,postcode not found,,,,,
BD16 1HH,BD16 1HH,SE 10791 38780,410791,438780,53.845152,-1.8374725
BD16 1HJ,BD16 1HJ,SE 10608 38861,410608,438861,53.845884,-1.8402511
BD16 1HL,BD16 1HL,SE 10913 38771,410913,438771,53.845069,-1.8356185
BD16 1HN,BD16 1HN,SE 08770 37956,408770,437956,53.837784,-1.8682125
BD16 1HP,BD16 1HP,SE 08487 38314,408487,438314,53.841006,-1.8725032
BD16 1HQ,BD16 1HQ,SE 10856 38817,410856,438817,53.845484,-1.8364833
BD16 1HR,BD16 1HR,SE 10731 38624,410731,438624,53.843752,-1.8383898
BD16 1HS,BD16 1HS,SE 08647 38357,408647,438357,53.84139,-1.8700704
BD16 1HT,BD16 1HT,SE 08756 38409,408756,438409,53.841856,-1.8684125
BD16 1HU,BD16 1HU,SE 08917 38352,408917,438352,53.841341,-1.8659673
BD16 1HW,BD16 1HW,SE 10856 38817,410856,438817,53.845484,-1.8364833
BD16 1HX,BD16 1HX,SE 08860 38149,408860,438149,53.839517,-1.8668393
BD16 1HY,BD16 1HY,SE 08992 38109,408992,438109,53.839155,-1.8648345
BD16 1HZ,BD16 1HZ,SE 08759 38246,408759,438246,53.840391,-1.8683714
BD16 1JA,BD16 1JA,SE 08702 38187,408702,438187,53.839861,-1.8692393
BD16 1JB,BD16 1JB,SE 08806 38139,408806,438139,53.839428,-1.8676602
BD16 1JD,BD16 1JD,SE 08735 38071,408735,438071,53.838818,-1.8687411
BD16 1JE,BD16 1JE,SE 08788 38007,408788,438007,53.838242,-1.8679375
BD16 1JF,BD16 1JF,SE 08837 37955,408837,437955,53.837774,-1.8671943
BD16 1JG,BD16 1JG,SE 08918 38041,408918,438041,53.838545,-1.865961
BD16 1JH,BD16 1JH,SE 08763 37696,408763,437696,53.835447,-1.8683261
BD16 1JJ,BD16 1JJ,SE 08792 37782,408792,437782,53.83622,-1.867883
BD16 1JL,BD16 1JL,SE 08685 38032,408685,438032,53.838468,-1.869502
BD16 1JN,BD16 1JN,SE 08609 38178,408609,438178,53.839782,-1.8706529
BD16 1JP,BD16 1JP,SE 08627 38297,408627,438297,53.840851,-1.8703761
BD16 1JQ,BD16 1JQ,SE 08818 37858,408818,437858,53.836902,-1.8674858
BD16 1JR,BD16 1JR,SE 08641 38299,408641,438299,53.840869,-1.8701632
BD16 1JS,BD16 1JS,SE 08660 38351,408660,438351,53.841336,-1.869873
BD16 1JT,BD16 1JT,SE 08533 38446,408533,438446,53.842192,-1.8718005
BD16 1JU,postcode not found,,,,,
BD16 1JW,BD16 1JW,SE 08569 38171,408569,438171,53.83972,-1.871261
BD16 1JX,BD16 1JX,SE 08547 38333,408547,438333,53.841176,-1.8715908
BD16 1JY,BD16 1JY,SE 08580 38459,408580,438459,53.842308,-1.8710859
BD16 1JZ,BD16 1JZ,SE 08576 38537,408576,438537,53.843009,-1.8711445
BD16 1LA,BD16 1LA,SE 08541 38549,408541,438549,53.843118,-1.8716761
BD16 1LB,BD16 1LB,SE 08479 38561,408479,438561,53.843226,-1.8726181
BD16 1LD,BD16 1LD,SE 08464 38533,408464,438533,53.842975,-1.8728468
BD16 1LE,BD16 1LE,SE 08534 38490,408534,438490,53.842587,-1.8717841
BD16 1LF,BD16 1LF,SE 08484 38482,408484,438482,53.842516,-1.8725442
BD16 1LG,BD16 1LG,SE 08359 38419,408359,438419,53.841952,-1.8744456
BD16 1LH,BD16 1LH,SE 08473 38341,408473,438341,53.841249,-1.8727152
BD16 1LJ,BD16 1LJ,SE 08521 38290,408521,438290,53.84079,-1.8719871
BD16 1LL,BD16 1LL,SE 08696 38055,408696,438055,53.838675,-1.8693342
BD16 1LN,BD16 1LN,SE 08250 38261,408250,438261,53.840534,-1.8761064
BD16 1LP,BD16 1LP,SE 08954 37930,408954,437930,53.837547,-1.8654171
BD16 1LQ,BD16 1LQ,SE 08201 38316,408201,438316,53.841029,-1.8768496
BD16 1LR,BD16 1LR,SE 11389 38047,411389,438047,53.838552,-1.8284105
BD16 1LS,BD16 1LS,SE 11274 38118,411274,438118,53.839192,-1.8301555
BD16 1LT,BD16 1LT,SE 11421 38080,411421,438080,53.838848,-1.827923
BD16 1LU,BD16 1LU,SE 11378 38016,411378,438016,53.838273,-1.8285788
BD16 1LW,BD16 1LW,SE 08326 38286,408326,438286,53.840757,-1.8749507
BD16 1LX,BD16 1LX,SE 10932 38131,410932,438131,53.839316,-1.8353523
BD16 1LY,BD16 1LY,SE 11140 37991,411140,437991,53.838054,-1.8321964
BD16 1LZ,BD16 1LZ,SE 11101 37928,411101,437928,53.837488,-1.8327913
BD16 1NA,BD16 1NA,SE 11013 38030,411013,438030,53.838407,-1.834125
BD16 1NB,BD16 1NB,SE 11308 37880,411308,437880,53.837052,-1.8296475
BD16 1ND,BD16 1ND,SE 11249 37745,411249,437745,53.83584,-1.8305489
BD16 1NE,BD16 1NE,SE 11424 37865,411424,437865,53.836915,-1.8278853
BD16 1NF,BD16 1NF,SE 11359 37667,411359,437667,53.835137,-1.8288803
BD16 1NG,BD16 1NG,SE 11168 37632,411168,437632,53.834826,-1.8317838
BD16 1NH,BD16 1NH,SE 11472 37722,411472,437722,53.835629,-1.8271612
BD16 1NJ,BD16 1NJ,SE 11514 37653,411514,437653,53.835008,-1.8265256
BD16 1NL,BD16 1NL,SE 11575 37569,411575,437569,53.834251,-1.8256018
BD16 1NN,BD16 1NN,SE 11467 37571,411467,437571,53.834272,-1.8272428
BD16 1NP,BD16 1NP,SE 11509 37453,411509,437453,53.83321,-1.826609
BD16 1NQ,BD16 1NQ,SE 11440 37774,411440,437774,53.836097,-1.8276456
BD16 1NR,BD16 1NR,SE 11622 37582,411622,437582,53.834367,-1.8248872
BD16 1NS,BD16 1NS,SE 11622 37722,411622,437722,53.835625,-1.8248819
BD16 1NT,BD16 1NT,SE 11196 37795,411196,437795,53.836291,-1.8313525
BD16 1NU,postcode not found,,,,,
BD16 1NW,BD16 1NW,SE 11577 37502,411577,437502,53.833649,-1.8255739
BD16 1NX,postcode not found,,,,,
BD16 1PA,BD16 1PA,SE 11774 37585,411774,437585,53.834391,-1.8225774
BD16 1PB,BD16 1PB,SE 11717 37553,411717,437553,53.834104,-1.8234448
BD16 1PD,postcode not found,,,,,
BD16 1PE,BD16 1PE,SE 11786 37441,411786,437441,53.833096,-1.8224006
BD16 1PF,BD16 1PF,SE 11851 37344,411851,437344,53.832223,-1.8214166
BD16 1PG,BD16 1PG,SE 11750 37355,411750,437355,53.832324,-1.8229508
BD16 1PH,BD16 1PH,SE 11747 37295,411747,437295,53.831785,-1.8229987
BD16 1PJ,BD16 1PJ,SE 11827 37159,411827,437159,53.830561,-1.8217883
BD16 1PL,BD16 1PL,SE 11709 37281,411709,437281,53.83166,-1.8235766
BD16 1PN,BD16 1PN,SE 11474 37397,411474,437397,53.832708,-1.8271428
BD16 1PP,BD16 1PP,SE 11483 37291,411483,437291,53.831755,-1.82701
BD16 1PQ,BD16 1PQ,SE 11677 37428,411677,437428,53.832982,-1.8240572
BD16 1PR,BD16 1PR,SE 11382 37310,411382,437310,53.831928,-1.8285439
BD16 1PS,BD16 1PS,SE 11359 37221,411359,437221,53.831128,-1.8288966
BD16 1PT,BD16 1PT,SE 11396 36975,411396,436975,53.828917,-1.8283435
BD16 1PU,BD16 1PU,SE 11443 36936,411443,436936,53.828565,-1.8276309
BD16 1PW,BD16 1PW,SE 11654 37254,411654,437254,53.831418,-1.8244132
BD16 1PX,BD16 1PX,SE 11482 37004,411482,437004,53.829175,-1.8270358
BD16 1PY,BD16 1PY,SE 11756 37471,411756,437471,53.833367,-1.8228553
BD16 1QA,BD16 1QA,SE 11767 37055,411767,437055,53.829627,-1.8227039
BD16 1QB,BD16 1QB,SE 11712 37155,411712,437155,53.830527,-1.8235357
BD16 1QD,BD16 1QD,SE 11368 37103,411368,437103,53.830068,-1.8287642
BD16 1QE,BD16 1QE,SE 11448 37082,411448,437082,53.829877,-1.8275495
BD16 1QF,BD16 1QF,SE 11521 37070,411521,437070,53.829768,-1.8264408
BD16 1QG,BD16 1QG,SE 11458 37457,411458,437457,53.833247,-1.8273837
BD16 1QH,BD16 1QH,SE 11244 37225,411244,437225,53.831167,-1.8306438
BD16 1QJ,BD16 1QJ,SE 11100 37123,411100,437123,53.830253,-1.8328353
BD16 1QL,BD16 1QL,SE 08569 38440,408569,438440,53.842137,-1.8712536
BD16 1QN,BD16 1QN,SE 08188 38238,408188,438238,53.840328,-1.8770492
BD16 1QP,BD16 1QP,SE 11232 37322,411232,437322,53.832039,-1.8308226
BD16 1QR,BD16 1QR,SE 11096 37338,411096,437338,53.832186,-1.8328884
BD16 1QS,BD16 1QS,SE 11062 37373,411062,437373,53.832501,-1.8334037
BD16 1QU,BD16 1QU,SE 10945 37327,410945,437327,53.83209,-1.8351831
BD16 1QX,BD16 1QX,SE 10844 37278,410844,437278,53.831652,-1.8367194
BD16 1QY,BD16 1QY,SE 10854 37300,410854,437300,53.831849,-1.8365667
BD16 1QZ,BD16 1QZ,SE 10824 37307,410824,437307,53.831913,-1.8370223
BD16 1RB,BD16 1RB,SE 10811 37123,410811,437123,53.830259,-1.8372262
BD16 1RD,BD16 1RD,SE 10755 36865,410755,436865,53.827941,-1.8380859
BD16 1RE,BD16 1RE,SE 10872 37118,410872,437118,53.830213,-1.8362996
BD16 1RF,BD16 1RF,SE 10931 37106,410931,437106,53.830104,-1.8354036
BD16 1RG,BD16 1RG,SE 10963 37103,410963,437103,53.830076,-1.8349175
BD16 1RH,BD16 1RH,SE 11023 37123,411023,437123,53.830255,-1.8340052
BD16 1RJ,BD16 1RJ,SE 11062 37265,411062,437265,53.83153,-1.8334076
BD16 1RL,BD16 1RL,SE 10986 37107,410986,437107,53.830112,-1.8345679
BD16 1RN,BD16 1RN,SE 11117 37073,411117,437073,53.829803,-1.8325788
BD16 1RP,BD16 1RP,SE 11306 37081,411306,437081,53.829871,-1.829707
BD16 1RQ,BD16 1RQ,SE 10935 37258,410935,437258,53.83147,-1.8353374
BD16 1RR,BD16 1RR,SE 11175 37021,411175,437021,53.829335,-1.8316995
BD16 1RS,postcode not found,,,,,
BD16 1RT,postcode not found,,,,,
BD16 1RU,postcode not found,,,,,
BD16 1RW,BD16 1RW,SE 11204 37151,411204,437151,53.830503,-1.8312542
BD16 1RX,BD16 1RX,SE 11608 36946,411608,436946,53.828651,-1.8251237
BD16 1RY,BD16 1RY,SE 08213 38019,408213,438019,53.838359,-1.876675
BD16 1RZ,BD16 1RZ,SE 11890 36902,411890,436902,53.828249,-1.820841
BD16 1SA,BD16 1SA,SE 11869 36989,411869,436989,53.829032,-1.8211567
BD16 1SB,BD16 1SB,SE 11984 36888,411984,436888,53.828121,-1.8194134
BD16 1SD,BD16 1SD,SE 11865 36851,411865,436851,53.827792,-1.8212228
BD16 1SE,BD16 1SE,SE 11845 36969,411845,436969,53.828853,-1.8215221
BD16 1SF,BD16 1SF,SE 11840 36971,411840,436971,53.828871,-1.821598
BD16 1SG,BD16 1SG,SE 11801 36983,411801,436983,53.828979,-1.8221901
BD16 1SH,BD16 1SH,SE 11759 37019,411759,437019,53.829304,-1.8228268
BD16 1SJ,BD16 1SJ,SE 11710 36936,411710,436936,53.828559,-1.8235744
BD16 1SL,postcode not found,,,,,
BD16 1SN,BD16 1SN,SE 11748 36975,411748,436975,53.828909,-1.8229956
BD16 1SP,BD16 1SP,SE 11744 36973,411744,436973,53.828891,-1.8230564
BD16 1SQ,BD16 1SQ,SE 11784 36989,411784,436989,53.829034,-1.8224481
BD16 1SR,BD16 1SR,SE 11759 36944,411759,436944,53.82863,-1.8228296
BD16 1SS,postcode not found,,,,,
BD16 1ST,BD16 1ST,SE 11785 36928,411785,436928,53.828485,-1.8224352
BD16 1SU,BD16 1SU,SE 11753 36912,411753,436912,53.828342,-1.822922
BD16 1SW,BD16 1SW,SE 11734 36945,411734,436945,53.828639,-1.8232094
BD16 1SX,BD16 1SX,SE 11680 36917,411680,436917,53.828389,-1.8240309
BD16 1SY,BD16 1SY,SE 11885 36745,411885,436745,53.826838,-1.820923
BD16 1SZ,BD16 1SZ,SE 11947 36854,411947,436854,53.827817,-1.8199769
BD16 1TA,BD16 1TA,SE 11478 36875,411478,436875,53.828016,-1.8271014
BD16 1TB,BD16 1TB,SE 11133 36898,411133,436898,53.82823,-1.832342
BD16 1TD,BD16 1TD,SE 11426 36928,411426,436928,53.828493,-1.8278894
BD16 1TE,BD16 1TE,SE 11610 36876,411610,436876,53.828022,-1.8250959
BD16 1TF,BD16 1TF,SE 08428 38471,408428,438471,53.842418,-1.8733956
BD16 1TG,BD16 1TG,SE 08525 38377,408525,438377,53.841572,-1.871924
BD16 1TH,BD16 1TH,SE 11177 36928,411177,436928,53.828499,-1.8316724
BD16 1TJ,BD16 1TJ,SE 11153 36960,411153,436960,53.828787,-1.8320359
BD16 1TL,BD16 1TL,SE 11199 36991,411199,436991,53.829065,-1.8313359
BD16 1TN,BD16 1TN,SE 11643 38470,411643,438470,53.842348,-1.8245348
BD16 1TP,BD16 1TP,SE 12087 38253,412087,438253,53.840388,-1.8177954
BD16 1TQ,BD16 1TQ,SE 11923 37049,411923,437049,53.82957,-1.820334
BD16 1TR,BD16 1TR,SE 08481 38372,408481,438372,53.841528,-1.8725928
BD16 1TS,BD16 1TS,SE 11811 38331,411811,438331,53.841095,-1.8219868
BD16 1TT,BD16 1TT,SE 11963 37580,411963,437580,53.834342,-1.8197058
BD16 1TU,BD16 1TU,SE 12214 37616,412214,437616,53.834659,-1.8158905
BD16 1TW,BD16 1TW,SE 12076 37320,412076,437320,53.832002,-1.8179989
BD16 1TX,BD16 1TX,SE 12135 37337,412135,437337,53.832154,-1.8171018
BD16 1TY,BD16 1TY,SE 11936 37013,411936,437013,53.829246,-1.8201379
BD16 1TZ,BD16 1TZ,SE 11962 37252,411962,437252,53.831394,-1.8197336
BD16 1UA,BD16 1UA,SE 09175 37549,409175,437549,53.834119,-1.86207
BD16 1UB,BD16 1UB,SE 09889 37197,409889,437197,53.830942,-1.8512321
BD16 1UD,BD16 1UD,SE 10340 36805,410340,436805,53.82741,-1.8443928
BD16 1UE,BD16 1UE,SE 10434 36710,410434,436710,53.826555,-1.8429679
BD16 1UF,BD16 1UF,SE 10577 36565,410577,436565,53.825249,-1.8408004
BD16 1UG,BD16 1UG,SE 10584 36763,410584,436763,53.827028,-1.8406873
BD16 1UH,BD16 1UH,SE 11839 36146,411839,436146,53.821456,-1.8216446
BD16 1UJ,BD16 1UJ,SE 11993 36066,411993,436066,53.820733,-1.8193084
BD16 1UL,BD16 1UL,SE 12152 36221,412152,436221,53.822123,-1.8168872
BD16 1UN,BD16 1UN,SE 12262 36169,412262,436169,53.821653,-1.8152183
BD16 1UP,BD16 1UP,SE 12134 36616,412134,436616,53.825673,-1.8171452
BD16 1UQ,BD16 1UQ,SE 10992 36140,410992,436140,53.82142,-1.8345109
BD16 1UR,BD16 1UR,SE 12156 36560,412156,436560,53.825169,-1.8168131
BD16 1US,BD16 1US,SE 10382 37230,410382,437230,53.831229,-1.8437406
BD16 1UT,BD16 1UT,SE 12197 36498,412197,436498,53.824611,-1.8161927
BD16 1UU,BD16 1UU,SE 11271 35970,411271,435970,53.819886,-1.830279
BD16 1UW,BD16 1UW,SE 12433 36712,412433,436712,53.826529,-1.812599
BD16 1UX,postcode not found,,,,,
BD16 1UY,BD16 1UY,SE 08438 38428,408438,438428,53.842032,-1.8732448
BD16 1UZ,postcode not found,,,,,
BD16 1WA,BD16 1WA,SE 11745 38298,411745,438298,53.8408,-1.8229911
BD16 1WB,postcode not found,,,,,
BD16 1WD,postcode not found,,,,,
BD16 1WE,BD16 1WE,SE 11696 36695,411696,436695,53.826393,-1.8237962
BD16 1WF,BD16 1WF,SE 11627 36788,411627,436788,53.827231,-1.8248409
BD16 1WG,BD16 1WG,SE 11652 36829,411652,436829,53.827599,-1.8244596
BD16 1WH,BD16 1WH,SE 11791 36818,411791,436818,53.827497,-1.8223483
BD16 1WJ,postcode not found,,,,,
BD16 1WL,postcode not found,,,,,
BD16 1WN,postcode not found,,,,,
BD16 1WP,postcode not found,,,,,
BD16 1WQ,postcode not found,,,,,
BD16 1WR,postcode not found,,,,,
BD16 1WS,postcode not found,,,,,
BD16 1WT,postcode not found,,,,,
BD16 1WU,postcode not found,,,,,
BD16 1WW,postcode not found,,,,,
BD16 1WX,postcode not found,,,,,
BD16 1WY,postcode not found,,,,,
BD16 1WZ,postcode not found,,,,,
BD16 1XA,postcode not found,,,,,
BD16 1XB,postcode not found,,,,,
BD16 1XD,postcode not found,,,,,
BD16 1XE,postcode not found,,,,,
BD16 1XF,postcode not found,,,,,
BD16 1XG,postcode not found,,,,,
BD16 1XH,postcode not found,,,,,
BD16 1XJ,postcode not found,,,,,
BD16 1XL,postcode not found,,,,,
BD16 1XN,postcode not found,,,,,
BD16 1XP,postcode not found,,,,,
BD16 1XQ,postcode not found,,,,,
BD16 1XR,postcode not found,,,,,
BD16 1XS,postcode not found,,,,,
BD16 1XT,BD16 1XT,SE 16178 34065,416178,434065,53.802636,-1.7558432
BD16 1XU,BD16 1XU,SE 10665 39240,410665,439240,53.849289,-1.8393717
BD16 1XW,postcode not found,,,,,
BD16 1XX,postcode not found,,,,,
BD16 1XY,postcode not found,,,,,
BD16 1XZ,postcode not found,,,,,
BD16 1YA,postcode not found,,,,,
BD16 1YB,BD16 1YB,SE 10817 39015,410817,439015,53.847264,-1.8370691
BD16 1YD,postcode not found,,,,,
BD16 1YE,postcode not found,,,,,
BD16 1YF,postcode not found,,,,,
BD16 1YG,postcode not found,,,,,
BD16 1YH,postcode not found,,,,,
BD16 1YJ,postcode not found,,,,,
BD16 1YL,postcode not found,,,,,
BD16 1YN,postcode not found,,,,,
BD16 1YP,postcode not found,,,,,
BD16 1YQ,postcode not found,,,,,
BD16 1YR,postcode not found,,,,,
BD16 1YS,postcode not found,,,,,
BD16 1YT,postcode not found,,,,,
BD16 1YU,postcode not found,,,,,
BD16 1YW,postcode not found,,,,,
BD16 1YX,postcode not found,,,,,
BD16 1YY,postcode not found,,,,,
BD16 1YZ,postcode not found,,,,,
BD16 1ZA,BD16 1ZA,SE 10665 39240,410665,439240,53.849289,-1.8393717
BD16 1ZB,BD16 1ZB,SE 11133 37220,411133,437220,53.831124,-1.8323304
BD16 1ZQ,BD16 1ZQ,SE 10665 39240,410665,439240,53.849289,-1.8393717
BD16 2AA,BD16 2AA,SE 10228 40281,410228,440281,53.858654,-1.84598
BD16 2AB,BD16 2AB,SE 10070 40202,410070,440202,53.857947,-1.8483847
BD16 2AE,BD16 2AE,SE 09983 40240,409983,440240,53.858291,-1.8497062
BD16 2AF,BD16 2AF,SE 10012 40473,410012,440473,53.860384,-1.8492578
BD16 2AG,BD16 2AG,SE 09722 40564,409722,440564,53.861208,-1.8536642
BD16 2AH,BD16 2AH,SE 10758 38976,410758,438976,53.846915,-1.8379672
BD16 2AJ,BD16 2AJ,SE 10407 40615,410407,440615,53.861653,-1.8432473
BD16 2AL,BD16 2AL,SE 10306 40373,410306,440373,53.85948,-1.844791
BD16 2AN,BD16 2AN,SE 10349 40619,410349,440619,53.86169,-1.844129
BD16 2AP,BD16 2AP,SE 10404 40580,410404,440580,53.861338,-1.8432941
BD16 2AQ,BD16 2AQ,SE 10429 40568,410429,440568,53.86123,-1.8429144
BD16 2AR,BD16 2AR,SE 10338 40439,410338,440439,53.860072,-1.8443023
BD16 2AS,BD16 2AS,SE 10280 40684,410280,440684,53.862275,-1.845176
BD16 2AT,postcode not found,,,,,
BD16 2AU,BD16 2AU,SE 10349 40619,410349,440619,53.86169,-1.844129
BD16 2AW,BD16 2AW,SE 09962 41173,409962,441173,53.866677,-1.8499955
BD16 2AX,postcode not found,,,,,
BD16 2AY,BD16 2AY,SE 10297 40643,410297,440643,53.861907,-1.8449189
BD16 2AZ,BD16 2AZ,SE 10954 39084,410954,439084,53.847881,-1.8349844
BD16 2BB,postcode not found,,,,,
BD16 2BD,BD16 2BD,SE 10311 40478,410311,440478,53.860423,-1.8447115
BD16 2BH,postcode not found,,,,,
BD16 2BL,postcode not found,,,,,
BD16 2BN,BD16 2BN,SE 10323 40583,410323,440583,53.861367,-1.8445256
BD16 2BP,BD16 2BP,SE 10297 40433,410297,440433,53.860019,-1.8449259
BD16 2BQ,BD16 2BQ,SE 10349 40537,410349,440537,53.860953,-1.8441318
BD16 2BS,BD16 2BS,SE 11192 38733,411192,438733,53.844722,-1.8313795
BD16 2BT,postcode not found,,,,,
BD16 2BU,postcode not found,,,,,
BD16 2BW,BD16 2BW,SE 10300 40522,410300,440522,53.860819,-1.8448773
BD16 2DA,postcode not found,,,,,
BD16 2DB,postcode not found,,,,,
BD16 2DE,postcode not found,,,,,
BD16 2DJ,postcode not found,,,,,
BD16 2DL,BD16 2DL,SE 09574 40258,409574,440258,53.85846,-1.8559239
BD16 2DN,BD16 2DN,SE 08970 40693,408970,440693,53.86238,-1.8650943
BD16 2DS,postcode not found,,,,,
BD16 2DT,BD16 2DT,SE 09866 40832,409866,440832,53.863614,-1.8514662
BD16 2DU,BD16 2DU,SE 09831 40866,409831,440866,53.86392,-1.8519973
BD16 2DW,BD16 2DW,SE 09079 40156,409079,440156,53.857552,-1.8634526
BD16 2DX,BD16 2DX,SE 09877 40873,409877,440873,53.863982,-1.8512976
BD16 2DY,BD16 2DY,SE 09883 40949,409883,440949,53.864665,-1.851204
BD16 2DZ,BD16 2DZ,SE 09763 41038,409763,441038,53.865467,-1.8530259
BD16 2EA,BD16 2EA,SE 09788 41112,409788,441112,53.866132,-1.8526434
BD16 2EB,postcode not found,,,,,
BD16 2ED,BD16 2ED,SE 09913 41100,409913,441100,53.866021,-1.850743
BD16 2EE,BD16 2EE,SE 09782 40931,409782,440931,53.864505,-1.8527403
BD16 2EF,BD16 2EF,SE 09659 41107,409659,441107,53.866089,-1.8546052
BD16 2EG,BD16 2EG,SE 09782 40931,409782,440931,53.864505,-1.8527403
BD16 2EH,BD16 2EH,SE 09909 40984,409909,440984,53.864979,-1.8508075
BD16 2EJ,BD16 2EJ,SE 10006 41050,410006,441050,53.86557,-1.8493304
BD16 2EL,BD16 2EL,SE 10068 40808,410068,440808,53.863394,-1.8483955
BD16 2EN,postcode not found,,,,,
BD16 2EP,BD16 2EP,SE 10086 40978,410086,440978,53.864922,-1.8481162
BD16 2EQ,postcode not found,,,,,
BD16 2ER,BD16 2ER,SE 09934 40832,409934,440832,53.863612,-1.8504322
BD16 2ES,BD16 2ES,SE 10187 40828,410187,440828,53.863572,-1.8465854
BD16 2ET,BD16 2ET,SE 10117 40908,410117,440908,53.864292,-1.8476471
BD16 2EU,BD16 2EU,SE 10183 40767,410183,440767,53.863023,-1.8466482
BD16 2EX,BD16 2EX,SE 10280 40748,410280,440748,53.862851,-1.8451739
BD16 2EY,BD16 2EY,SE 10256 40866,410256,440866,53.863912,-1.8455349
BD16 2EZ,BD16 2EZ,SE 10239 40637,410239,440637,53.861854,-1.845801
BD16 2HA,BD16 2HA,SE 10138 40565,410138,440565,53.861209,-1.847339
BD16 2HB,BD16 2HB,SE 10236 40516,410236,440516,53.860766,-1.8458506
BD16 2HD,BD16 2HD,SE 10180 40503,410180,440503,53.860651,-1.8467025
BD16 2HE,BD16 2HE,SE 10172 40573,410172,440573,53.86128,-1.8468218
BD16 2HH,BD16 2HH,SE 10245 40452,410245,440452,53.860191,-1.8457159
BD16 2HJ,postcode not found,,,,,
BD16 2HL,BD16 2HL,SE 10662 39249,410662,439249,53.84937,-1.839417
BD16 2HN,BD16 2HN,SE 10675 39223,410675,439223,53.849136,-1.8392203
BD16 2HP,BD16 2HP,SE 10660 39196,410660,439196,53.848894,-1.8394492
BD16 2HQ,postcode not found,,,,,
BD16 2HR,BD16 2HR,SE 10697 39182,410697,439182,53.848767,-1.8388873
BD16 2HS,BD16 2HS,SE 10697 39170,410697,439170,53.84866,-1.8388877
BD16 2HT,BD16 2HT,SE 10759 39113,410759,439113,53.848146,-1.8379473
BD16 2HU,postcode not found,,,,,
BD16 2HW,BD16 2HW,SE 10665 39240,410665,439240,53.849289,-1.8393717
